OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
11075,"Oak, White",Quercus alba,No,0,0,525,FAIRVIEW AVE, ,Front,0,FAIRVIEW AVE, , ,2371254.66,256010.6721,40.02710395,-76.31177591,816d3a4f-2517-41de-aaa8-e03151f5d1fa,Tree,SWQ,Park,-76.31177591,40.02710395
3913,"Maple, Silver",Acer saccharinum,No,0,0,714,GARNET AVE, ,Front,0,GARNET AVE, , ,2371187.382,254981.446,40.02428199,-76.31207596,991833f6-d71f-48e4-bf50-2f5255ffb3df,Tree,SWQ,Street,-76.31207596,40.02428198
10411,"Locust, Black",Robinia pseudoacacia,No,0,0,525,FAIRVIEW AVE, ,Rear,0,NEW DORWART ST, , ,2371893.206,256097.2829,40.02731311,-76.30949104,7d5265d9-fad2-4950-a8d7-d9ef75025dda,Tree,SWQ,Street,-76.30949104,40.02731311
593,"Elm, Siberian",Ulmus pumila,No,0,0,69,GREENWOOD AVE, ,Front,0,GREENWOOD AVE, , ,2373912.1,254868.036,40.02384851,-76.30235485,49ad701f-9517-4331-9284-313737f8de4a,Tree,SEQ,Street,-76.30235485,40.02384851
3842,"Oak, Northern Red",Quercus rubra,No,0,0,1000,FREMONT ST, ,Side,0,ST JOSEPH ST, , ,2369295.423,256221.6717,40.02777047,-76.31875884,6b3d697b-ae15-463d-9782-c6b5b7f8cc18,Tree,SWQ,Street,-76.31875884,40.02777047
4838,"Zelkova, Japanese",Zelkova serrata,Yes,0,0,555,S WATER ST, ,Front,0,S WATER ST, , ,2372453.832,256352.569,40.02798869,-76.30747452,25f475e1-02d7-4493-8cbc-8d20e09b8fd6,Tree,SWQ,Street,-76.30747452,40.02798868
11739,"Coffeetree, Kentucky",Gymnocladus dioicus,No,0,0,1401,HARRISBURG PIKE, ,Side,0,WOODTHRUSH CIR, , ,2364205.745,268840.6222,40.06263151,-76.33620962,7e31fe4d-b246-4422-87fb-99fffc56be0b,Tree,NWA,Park,-76.33620962,40.06263151
11668,"Maple, Norway",Acer platanoides,No,0,0,1401,HARRISBURG PIKE, ,Side,0,GOLDFINCH RD, , ,2364474.241,269240.4631,40.06371717,-76.33522761,d3c2427d-e518-4c61-99c1-0f6b4df56f84,Tree,NWA,Park,-76.33522761,40.06371717
11407,"Tupelo, Black",Nyssa sylvatica,No,0,0,1401,HARRISBURG PIKE, ,Side,0,CHICKADEE RD, , ,2365463.283,269277.4272,40.06377508,-76.33169236,f3241c8b-8f20-488b-a837-0a5f9cf3c9b7,Tree,NWA,Park,-76.33169236,40.06377508
11336,"Dogwood, Flowering",Cornus florida,No,0,0,1401,HARRISBURG PIKE, ,Side,0,GOLDFINCH RD, , ,2364995.349,269119.8485,40.06336318,-76.33337298,9bcc6687-0691-4414-ba6e-d0f502e8e474,Tree,NWA,Park,-76.33337298,40.06336318
